NAME;RESOURCE GROUP;SIZE;VCPUs;RAM GiB
bs-aceleradoraz01;rg-bancosolidario;Standard_B2ms;2;8
BS-APEXAZ01;rg-bancosolidario;Standard_D4as_v4;4;16
BS-APPMICROAZ01;rg-bancosolidario;Standard_B4ms;4;16
BS-AUTOMATEAZ01;rg-bancosolidario;Standard_B2s;2;4
BS-AZDC01;rg-bancosolidario;Standard_D2as_v4;2;8
BS-BIOMETRIAZ01;rg-bancosolidario;Standard_B2ms;2;8
BS-CASASCCOAZ01;rg-bancosolidario;Standard_B2s;2;4
BS-CENTRALDBAZ01;rg-bancosolidario;Standard_B4ms;4;16
BS-CLUSTERAZ01;rg-bancosolidario;Standard_B2ms;2;8
BS-CTGBPLUSAZ;rg-bancosolidario;Standard_B2s;2;4
BS-DFSAZ02;rg-bancosolidario;Standard_B2s;2;4
BS-EBIZNESSAZ01;rg-bancosolidario;Standard_B4ms;4;16
BS-EXTREMEAZ01;rg-bancosolidario;Standard_B4ms;4;16
BS-EZBWEBAZ01;rg-bancosolidario;Standard_B2ms;2;8
BS-IDCEAZ01;rg-bancosolidario;Standard_B2ms;2;8
BS-OCBPLUSAZ01;rg-bancosolidario;Standard_E4ads_v5;4;32
BS-PICIMGAZ01;rg-bancosolidario;Standard_D2as_v4;2;8
BS-PICRYCAZ01;rg-bancosolidario;Standard_B2ms;2;8
BS-PICTORAZ01;rg-bancosolidario;Standard_B4ms;4;16
BS-PORTALAZ01;rg-bancosolidario;Standard_B4ms;4;16
BS-ROBOTAZ01;rg-bancosolidario;Standard_B2ms;2;8
BS-ROBOTAZ02;rg-bancosolidario;Standard_B2ms;2;8
BS-ROBOTAZ03;rg-bancosolidario;Standard_B2ms;2;8
BS-ROBOTAZ04;rg-bancosolidario;Standard_B2ms;2;8
BS-ROBOTAZ05;rg-bancosolidario;Standard_B2ms;2;8
BS-ROBOTAZ06;rg-bancosolidario;Standard_B2ms;2;8
BS-SRVEXTAZ01;rg-bancosolidario;Standard_B2s;2;4
BS-SRVWEBAZ01-d977dddd-aa43-4621-a94c-914dc4529b5f;rg-bancosolidario;Standard_B2ms;2;8
BS-SRVWEBAZ02;rg-bancosolidario;Standard_B2s;2;4
BS-SRVWEBAZ03-test;rg-bancosolidario;Standard_F4s_v2;4;8
BS-SWAZ02;rg-bancosolidario;Standard_B2ms;2;8
BS-SWAZ04;rg-bancosolidario;Standard_B2s;2;4
BS-SWCADENAAZ01;rg-bancosolidario;Standard_B2s;2;4
BS-SWCONECTAZ01;rg-bancosolidario;Standard_B2ms;2;8
BS-SWITCHSMSAZ01;rg-bancosolidario;Standard_B2s;2;4
BS-SWSPAGOSAZ01;rg-bancosolidario;Standard_B2s;2;4
BS-TURNEROSAZ01;rg-bancosolidario;Standard_B4ms;4;16
BS-WEBAPAZ01;rg-bancosolidario;Standard_B2s;2;4
BS-WEBAPPAZ02;rg-bancosolidario;Standard_B2s;2;4
BSBP-IISAZ01;rg-bancosolidario;Standard_D16as_v4;16;64
BSBP-IISAZ03;rg-bancosolidario;Standard_F16s_v2;16;32
BSBP-SQL03;rg-bancosolidario;Standard_D16as_v4;16;64
BSBP-SQLAZ01;rg-bancosolidario;Standard_E64-32ads_v5;32;512
BSUIO-IISAZ01;rg-bancosolidario;Standard_B4ms;4;16
BSUIO-IISAZ03;rg-bancosolidario;Standard_B2ms;2;8
FORTIAZURE01-FGT-A;rg-bancosolidario;Standard_F4s;4;8
